motivo,contrato,numeroOs,tipoOs,cod,status,receitaApp,toaData,basesAna,valorAna
AUSENTE_ANALITICO,167051710,2643356333,24 - MUDANCA DE PACOTE,409,Executada,98.81,2026-07-03,,0
AUSENTE_ANALITICO,170585637,2643945753,51 - ADESAO - INSTALACAO DE ASSINATURA DIGITAL,409,Executada,279.06,2026-07-03,,0
AUSENTE_ANALITICO,170585637,2643945764,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-03,,0
AUSENTE_ANALITICO,170584541,2643782561,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-03,,0
AUSENTE_ANALITICO,170584541,2643782572,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-03,,0
AUSENTE_ANALITICO,170585840,2643970054,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-03,,0
AUSENTE_ANALITICO,170585840,2643970065,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-03,,0
AUSENTE_ANALITICO,1464360,2626072137,12 - MUDANCA DE ENDERECO - INSTALAR ASSINATURA,409,Executada,269.89,2026-07-03,,0
AUSENTE_ANALITICO,1464360,2626072148,45 - MUDANCA DE ENDERECO - INSTALAR PONTO ADICIONAL VIRTUA,409,Executada,199.33,2026-07-03,,0
AUSENTE_ANALITICO,1519629,2625962279,12 - MUDANCA DE ENDERECO - INSTALAR ASSINATURA,409,Executada,269.89,2026-07-03,,0
AUSENTE_ANALITICO,1519629,2625962280,45 - MUDANCA DE ENDERECO - INSTALAR PONTO ADICIONAL VIRTUA,409,Executada,199.33,2026-07-03,,0
AUSENTE_ANALITICO,1556443,2626150178,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-03,,0
AUSENTE_ANALITICO,1556443,2626150189,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-03,,0
AUSENTE_ANALITICO,167278804,2642403739,44 - INSTALAR PONTO VIRTUA,409,Executada,199.33,2026-07-03,,0
AUSENTE_ANALITICO,167278804,2642403751,24 - MUDANCA DE PACOTE,409,Executada,98.81,2026-07-03,,0
AUSENTE_ANALITICO,170586072,2643994522,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170586072,2643994533,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170586463,2644059345,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170586463,2644059356,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170584380,2643741690,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170584380,2643741702,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170586277,2644024493,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170586277,2644024505,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170448397,2644062440,12 - MUDANCA DE ENDERECO - INSTALAR ASSINATURA,409,Executada,269.89,2026-07-04,,0
AUSENTE_ANALITICO,170448397,2644062451,45 - MUDANCA DE ENDERECO - INSTALAR PONTO ADICIONAL VIRTUA,409,Executada,199.33,2026-07-04,,0
AUSENTE_ANALITICO,170588547,2644447357,516 - ADESAO ENTREGA STREAMING,409,Executada,38.56,2026-07-04,,0
AUSENTE_ANALITICO,170588547,2644447368,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,169945247,2644036014,45 - MUDANCA DE ENDERECO - INSTALAR PONTO ADICIONAL VIRTUA,409,Executada,199.33,2026-07-04,,0
AUSENTE_ANALITICO,170586404,2644053451,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170586404,2644053462,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170585947,2643983148,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170585947,2643983159,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170586340,2644036261,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-04,,0
AUSENTE_ANALITICO,170586340,2644036272,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-04,,0
AUSENTE_ANALITICO,170587052,2644119195,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170587052,2644119207,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170587737,2644261777,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170587737,2644261788,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,168493822,2644178932,33 - REINSTALACAO - ASSINATURA,409,Executada,115.67,2026-07-06,,0
AUSENTE_ANALITICO,168493822,2644178943,46 - REINSTALACAO - PONTO ADICIONAL VIRTUA,409,Executada,199.33,2026-07-06,,0
VALOR_ZERO_OU_OUTRO,169530322,2644218375,15 - MUDANCA DE LOCAL DE PONTO,409,Executada,167.07,2026-07-06,,0
AUSENTE_ANALITICO,170587060,2644119353,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170587060,2644119364,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170587257,2644146139,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170587257,2644146140,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170587940,2644301479,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170587940,2644301480,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170586498,2644060628,51 - ADESAO - INSTALACAO DE ASSINATURA DIGITAL,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170586498,2644060639,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170586358,2644037217,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170586358,2644037228,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170586706,2644083218,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170586706,2644083229,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170586773,2644090137,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170586773,2644090159,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170583596,2643556717,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170583596,2643556728,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,169012054,2643859454,156 - INSTALACAO WIFI MESH,409,Executada,105.38,2026-07-06,,0
AUSENTE_ANALITICO,169012054,2643859465,156 - INSTALACAO WIFI MESH,409,Executada,105.38,2026-07-06,,0
AUSENTE_ANALITICO,170587168,2644132336,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-06,,0
AUSENTE_ANALITICO,170587168,2644132347,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-06,,0
AUSENTE_ANALITICO,170083569,2644857385,24 - MUDANCA DE PACOTE,409,Executada,98.81,2026-07-06,,0
AUSENTE_ANALITICO,170589233,2644590604,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170589233,2644590615,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170588792,2644496845,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170588792,2644496856,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170589462,2644609649,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170589462,2644609650,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170588865,2644546548,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170588865,2644546559,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170591734,2644984690,516 - ADESAO ENTREGA STREAMING,409,Executada,38.56,2026-07-07,,0
AUSENTE_ANALITICO,170591734,2644984702,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170589683,2644651400,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170589683,2644651422,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170588784,2644490861,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170588784,2644490872,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170589918,2644681380,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170589918,2644681391,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170589772,2644661153,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170589772,2644661164,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
AUSENTE_ANALITICO,170582301,2643356861,1 - ADESAO - INSTALACAO DE ASSINATURA,409,Executada,279.06,2026-07-07,,0
AUSENTE_ANALITICO,170582301,2643356872,43 - ADESAO - INSTALAR PONTO VIRTUA,409,Executada,414.61,2026-07-07,,0
